id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
72,9,EA575,1.00E+05,18.563124,11.854612,0.73873913,0.19446647,46,2.814774,1.5050148,181.3049404,199.8680644,0.044462089,Exp1
73,10,EA575,1.00E+06,11.687457,3.0930104,0.07531784,0.07066402,35,5.1467366,1.6309448,52.47873035,64.16618735,0.034752134,Exp1
74,10,EA575,1.00E+06,7.7144785,2.496841,0.07665621,0.09384093,23,3.506284,0.6032479,31.06861935,38.78309785,0.042642453,Exp1
75,10,EA575,1.00E+06,11.605366,3.3057954,0.090168126,0.08602943,42,4.5999146,1.5182166,55.66963233,67.27499833,0.035189858,Exp1
76,10,EA575,1.00E+06,7.6903224,2.3294532,0.06783222,0.0892095,51,6.8789163,0.5380059,93.90559299,101.5959154,0.030440317,Exp1
77,10,EA575,1.00E+06,10.323814,2.8647654,0.08133078,0.07904894,54,5.4569874,0.65860325,68.47964717,78.80346117,0.028762227,Exp1
78,10,EA575,1.00E+06,10.324231,2.8790848,0.08211616,0.08014824,53,11.444924,1.1612424,68.88857301,79.21280401,0.028621934,Exp1
79,10,EA575,1.00E+06,11.73446,3.06001,0.0823072,0.07703438,41,4.1806035,0.6892971,71.19781534,82.93227934,0.027496715,Exp1
80,10,EA575,1.00E+06,11.261694,2.662613,0.058457874,0.06956617,45,1.9119889,1.0909126,63.09837293,74.36006693,0.034867804,Exp1
81,11,EA575,1.00E+07,26.40176,14.142213,0.69432265,0.1365233,51,3.0548813,1.0570557,102.7683386,129.1700986,0.044592811,Exp1
82,11,EA575,1.00E+07,24.767786,12.567131,0.645077,0.14243555,51,2.2732148,0.53781635,128.9810757,153.7488617,0.044080955,Exp1
83,11,EA575,1.00E+07,27.295034,15.703761,0.86705047,0.15993023,74,3.084195,0.82750225,199.6603109,226.9553449,0.047375899,Exp1
84,11,EA575,1.00E+07,32.15921,15.842161,0.7873454,0.13370647,49,2.5955348,1.2681814,130.7559983,162.9152083,0.046224914,Exp1
85,11,EA575,1.00E+07,24.79094,17.03778,1.0349604,0.19231002,28,1.8484027,3.8866985,95.0838871,119.8748271,0.053133369,Exp1
86,11,EA575,1.00E+07,19.46648,12.778017,0.87810004,0.17350817,45,5.440534,1.5501063,74.77534156,94.24182156,0.050544245,Exp1
87,11,EA575,1.00E+07,21.102276,12.6355715,0.76411104,0.14989538,13,0.9841245,1.2606109,70.72626646,91.82854246,0.054648427,Exp1
88,11,EA575,1.00E+07,18.38315,11.09213,0.6940136,0.16075087,32,3.2227225,1.0052155,97.40942297,115.792573,0.053486101,Exp1
89,12,EA575,1.00E+08,10.937944,3.0966244,0.09618288,0.07350795,42,6.415412,0.7545181,70.32361896,81.26156296,0.028163309,Exp1
90,12,EA575,1.00E+08,7.821421,2.5688431,0.07336694,0.09911844,39,11.517533,0.47912222,74.57370954,82.39513054,0.031744604,Exp1
91,12,EA575,1.00E+08,6.7250137,2.0914323,0.062192194,0.094919205,42,7.8250384,0.23269883,43.39835583,50.12336953,0.030682979,Exp1
92,12,EA575,1.00E+08,10.916715,3.7304592,0.11187254,0.098130666,29,5.4571543,2.2844114,36.73453816,47.65125316,0.042639762,Exp1
93,12,EA575,1.00E+08,9.544645,1.9362639,0.37053343,0.058172572,37,6.2056456,0.39578754,34.99549015,44.54013515,0.026608928,Exp1
94,12,EA575,1.00E+08,11.403168,3.0827193,0.08284712,0.072747365,39,10.08074,0.52392876,64.31784376,75.72101176,0.033688268,Exp1
95,12,EA575,1.00E+08,10.075322,2.7023685,0.07056322,0.07717391,52,6.635791,0.4022805,88.78136436,98.85668636,0.027979937,Exp1
96,12,EA575,1.00E+08,10.170503,2.915852,0.08403348,0.08068755,47,5.919175,0.54854053,81.97480836,92.14531136,0.029518137,Exp1
97,13,FZB42,control,27.731098,18.096273,0.993557,0.19465171,50,1.8692046,1.6850709,148.7079399,176.4390379,0.054513243,Exp1
98,13,FZB42,control,22.575722,12.973478,0.67908233,0.17492339,22,1.0508379,3.633718,64.16013155,86.73585355,0.05059986,Exp1
99,13,FZB42,control,23.388203,13.087916,0.64261806,0.16949655,37,1.902456,2.5315003,67.2599412,90.6481442,0.056692224,Exp1
